player_name,team,total_hits,at_bats,obp,bb_rate,k_rate
"Moll, Sam",BOS,15,103,0.21487603305785125,0.10679611650485436,0.5145631067961165
"Reyes, Angel",TB,2,4,0.5,0.0,0.0
"Reyes, Luis",STL,0,1,0.0,0.0,0.0
"Parsons, Hunter",WSH,2,4,0.5,0.0,0.0
"Poppen, Sean",SEA,0,1,0.0,0.0,0.0
"Leiter Jr., Mark",LAD,127,512,0.2936378466557912,0.103515625,0.2265625
"Cruz, Fernando",OAK,0,2,0.3333333333333333,0.5,0.5
"Greene, Shane",COL,0,4,0.0,0.0,0.5
"Young, Alex",SEA,19,70,0.2926829268292683,0.07142857142857142,0.35714285714285715
"Harris, Hobie",ATL,0,3,0.2,0.3333333333333333,0.6666666666666666
"Duarte, Daniel",ATL,0,1,0.0,0.0,1.0
"Betts, Mookie",LAD,124,421,0.35984095427435386,0.13539192399049882,0.13539192399049882
"Adam, Jason",ATL,128,445,0.30060120240480964,0.04943820224719101,0.22247191011235956
"Green, Chad",MIN,96,363,0.28743961352657005,0.06336088154269973,0.2369146005509642
"Choate, Jack",MIL,0,1,0.0,0.0,1.0
"Minter, A.J.",TB,4,10,0.38461538461538464,0.1,0.3
"Wisdom, Patrick",BOS,15,76,0.26666666666666666,0.11842105263157894,0.25
"Boyd, Matthew",DET,60,235,0.28044280442804426,0.06808510638297872,0.28936170212765955
"Steele, Justin",LAA,22,98,0.28205128205128205,0.11224489795918367,0.42857142857142855
"Iglesias, Raisel",COL,32,135,0.27647058823529413,0.1111111111111111,0.4
"Eflin, Zach",BAL,3,11,0.3333333333333333,0.18181818181818182,0.09090909090909091
"Bourassa, Ryan",MIN,2,7,0.4444444444444444,0.2857142857142857,0.2857142857142857
"Gilbert, Logan",AZ,0,2,0.0,0.0,1.0
"O'Brien, Riley",CHC,0,1,0.0,0.0,0.0
"Shuster, Jared",CWS,0,1,0.0,0.0,0.0
"Rodríguez, Wilking",MIA,0,0,1.0,1.0,0.0
"Santana, Dennis",MIL,3,12,0.3333333333333333,0.16666666666666666,0.3333333333333333
"Ragans, Cole",WSH,47,192,0.27705627705627706,0.08854166666666667,0.21875
"Matz, Steven",SF,28,113,0.2682926829268293,0.04424778761061947,0.23008849557522124
"Maeda, Kenta",BAL,12,57,0.24615384615384617,0.07017543859649122,0.47368421052631576
"Bubic, Kris",BAL,29,113,0.2868217054263566,0.07079646017699115,0.3274336283185841
"Doval, Camilo",AZ,3,13,0.16666666666666666,0.0,0.15384615384615385
"Buehler, Walker",NYY,175,658,0.2942708333333333,0.07750759878419453,0.25987841945288753
"Koch, Matt",MIL,1,4,0.25,0.0,0.0
"Bowman, Matt",ATL,1,5,0.2,0.0,0.4
"Barria, Jaime",AZ,0,1,0.0,0.0,1.0
"Ruiz, José",WSH,124,453,0.28677839851024206,0.06622516556291391,0.23178807947019867
"Arias, Michael",STL,0,1,0.6666666666666666,2.0,0.0
"Sandlin, Nick",AZ,1,7,0.14285714285714285,0.0,0.2857142857142857
"Jobe, Jackson",HOU,86,357,0.3191489361702128,0.13725490196078433,0.3165266106442577
"Lucas, Easton",CIN,0,1,0.0,0.0,0.0
